-1.0681415022205296e8,0.3589242125211264+0.9180003440869345*I,0.27105351538197814+0.9436393918984576*I,0.22992012736961467+0.9508684072585866*I
-1.0430087609918115e8,0.3872834770685531+0.9208204413245915*I,0.3113228364880436+0.9449126948549998*I,0.24559011817006957+0.9573765578567278*I
-1.017876019763093e8,0.4226791394594355+0.883499847357039*I,0.37120896950049576+0.9014593706756394*I,0.31699124886513497+0.9153402755121847*I
-9.927432785343747e7,0.42185429231979077+0.8574852919535395*I,0.3484838774870346+0.8887514742683956*I,0.2844192964295971+0.9029975927648438*I
-9.676105373056562e7,0.49661676312362596+0.8616538131141319*I,0.45039470091949274+0.8854297563991966*I,0.3593049853574219+0.9144845492723378*I
-9.424777960769379e7,0.6426441995246502+0.6822653875393988*I,0.5708249213724235+0.7325512755425183*I,0.5132828418397968+0.7610733651712888*I
-9.173450548482196e7,0.5146334529835228+0.3103121248278977*I,0.4727906619718761+0.3581876993970068*I,0.4411464850395329+0.38948244354754785*I
-8.922123136195013e7,0.031545924509825164+0.20632921133890467*I,0.023926481152097653+0.2336862443936812*I,0.0003517439724224958+0.26436819033298314*I
-8.670795723907828e7,-0.30299849888548624+0.5629892204397439*I,-0.3185381330877491+0.5716272589875713*I,-0.33862352287527664+0.5813542212161076*I
-8.419468311620645e7,-0.20086633670720813+0.929545372414579*I,-0.23306809374036222+0.9222909990384989*I,-0.28314957952648595+0.9085089064099452*I
-8.168140899333462e7,0.0069399752253398745+0.9915578990137836*I,-0.04034148040829558+0.9888422619689599*I,-0.10171739467692843+0.9793555004272905*I
-7.916813487046279e7,0.05928599786290015+0.9535262286946571*I,0.025182691758871136+0.9541078726149214*I,-0.06535991153939763+0.9512161328859371*I
-7.665486074759096e7,0.07406205840776299+0.979324978975442*I,0.038880433453540385+0.9802006238358522*I,-0.012064265490271689+0.9783892998752051*I
-7.414158662471911e7,0.12320233828741349+0.9908684953399132*I,0.08946357993541655+0.9917961316820798*I,0.024746570437133256+0.9929808347259294*I
-7.162831250184727e7,0.14395294209937454+0.9748501774020766*I,0.09427916078346746+0.977801996440222*I,0.027309071677717248+0.9783819154963201*I
-6.911503837897545e7,0.1496792952766294+0.9802190884139786*I,0.09643997085841877+0.9837808555834311*I,0.03005856733470143+0.9855148832748283*I
