-0.04348240	-0.02950779	-0.04156595	-0.04128942	-0.04103861	-0.04310297	-0.04611912	-0.04876870	-0.05070443	-0.05026069	-0.04752108	-0.04392614	-0.04147592	-0.04247916	-0.04587474	-0.05009349	-0.05266590	-0.05330900	-0.05313536	-0.05242152	-0.05193276	-0.05290384	-0.05366914	-0.05455662	-0.05424150	-0.05372701
-0.03148854	-0.03278118	-0.03847906	-0.03754657	-0.03799674	-0.04023473	-0.04395829	-0.04689727	-0.04986840	-0.05013850	-0.04741175	-0.04380395	-0.03995820	-0.03959163	-0.04250488	-0.04738603	-0.05107100	-0.05255014	-0.05199064	-0.05133467	-0.05092952	-0.05203566	-0.05258229	-0.05343762	-0.05381062	-0.05371415
-0.03044672	-0.02757205	-0.03512207	-0.03473621	-0.03479409	-0.03669124	-0.03936011	-0.04293576	-0.04675579	-0.04833782	-0.04768829	-0.04440846	-0.03968166	-0.03730219	-0.03786812	-0.04278785	-0.04828637	-0.05141185	-0.05195848	-0.05074302	-0.05080733	-0.05152761	-0.05275593	-0.05378489	-0.05428008	-0.05404857
-0.02565561	-0.02404142	-0.03170077	-0.03156572	-0.03105767	-0.03235030	-0.03451755	-0.03805462	-0.04291004	-0.04591975	-0.04726384	-0.04519948	-0.04015113	-0.03485197	-0.03326351	-0.03728289	-0.04334735	-0.04882015	-0.05120605	-0.05040861	-0.04937321	-0.04985554	-0.05113531	-0.05253728	-0.05395210	-0.05406143
-0.02478742	-0.01844000	-0.02725050	-0.02631800	-0.02445944	-0.02508968	-0.02705114	-0.03031810	-0.03588736	-0.04218976	-0.04640851	-0.04590046	-0.04057558	-0.03325064	-0.02835021	-0.02943705	-0.03618319	-0.04462712	-0.04957257	-0.04894877	-0.04723811	-0.04704518	-0.04864651	-0.05094238	-0.05309034	-0.05426079
-0.02020210	-0.01469072	-0.01958472	-0.01898664	-0.01645925	-0.01611840	-0.01734030	-0.02147544	-0.02908334	-0.03717357	-0.04472358	-0.04661430	-0.04199040	-0.03258825	-0.02237579	-0.02103813	-0.02816371	-0.03787455	-0.04573969	-0.04645996	-0.04435702	-0.04386826	-0.04545029	-0.04797125	-0.05082662	-0.05246010
-0.01782905	-0.01031762	-0.01105719	-0.00739794	-0.00320491	-0.00339141	-0.00568729	-0.01169386	-0.02109601	-0.03276832	-0.04309011	-0.04609982	-0.04184249	-0.03102551	-0.01831781	-0.01399617	-0.02059439	-0.03206090	-0.04165599	-0.04324445	-0.04058201	-0.03922506	-0.04119939	-0.04548245	-0.04943752	-0.05170767
-0.01456853	-0.00605386	0.00097525	0.00484029	0.01096263	0.01165075	0.00739984	-0.00130776	-0.01509587	-0.02862031	-0.04200969	-0.04721882	-0.04273640	-0.03161716	-0.01639494	-0.01054914	-0.01560392	-0.02737912	-0.03894853	-0.04091642	-0.03701279	-0.03431176	-0.03601598	-0.04126370	-0.04624131	-0.04968833
-0.01382253	0.00082734	0.01208805	0.02143233	0.02773473	0.02804985	0.02090498	0.00896901	-0.00896068	-0.02523116	-0.04113508	-0.04731529	-0.04424126	-0.03330852	-0.01690942	-0.00809892	-0.01002180	-0.02139184	-0.03373940	-0.03750155	-0.03366223	-0.02978432	-0.03163003	-0.03747582	-0.04375893	-0.04753394
-0.01201541	0.00509754	0.02112364	0.03294386	0.04077041	0.04111125	0.03289884	0.01870558	-0.00153285	-0.02130181	-0.03910287	-0.04748892	-0.04561750	-0.03415742	-0.01741104	-0.00699278	-0.00581591	-0.01514732	-0.02730838	-0.03246606	-0.03053675	-0.02645305	-0.02749488	-0.03304485	-0.03907715	-0.04309654
