"853/1023","270/341","731/1023","222/341","18/31","526/1023","461/1023","380/1023","1/3","289/1023","250/1023","221/1023","205/1023","17/93","60/341","179/1023","60/341","196/1023","72/341","262/1023","100/341","120/341","144/341","512/1023","584/1023","661/1023","740/1023","267/341","9/11","866/1023","292/341"
"291/341","833/1023","262/341","23/33","7/11","193/341","499/1023","427/1023","376/1023","114/341","299/1023","260/1023","245/1023","75/341","218/1023","224/1023","221/1023","82/341","271/1023","316/1023","118/341","38/93","160/341","185/341","647/1023","700/1023","763/1023","277/341","290/341","80/93","296/341"
"910/1023","290/341","815/1023","745/1023","689/1023","19/31","560/1023","499/1023","149/341","133/341","362/1023","322/1023","301/1023","283/1023","277/1023","284/1023","284/1023","28/93","115/341","126/341","425/1023","481/1023","182/341","200/341","691/1023","68/93","270/341","285/341","27/31","889/1023","901/1023"
"923/1023","298/341","28/33","800/1023","250/341","689/1023","19/31","559/1023","524/1023","469/1023","144/341","394/1023","125/341","120/341","350/1023","118/341","365/1023","380/1023","415/1023","455/1023","494/1023","50/93","608/1023","662/1023","743/1023","258/341","842/1023","871/1023","911/1023","305/341","85/93"
"938/1023","907/1023","872/1023","839/1023","263/341","742/1023","232/341","19/31","596/1023","184/341","171/341","481/1023","461/1023","149/341","145/341","439/1023","443/1023","469/1023","166/341","533/1023","578/1023","623/1023","226/341","727/1023","785/1023","832/1023","289/341","889/1023","908/1023","937/1023","937/1023"
"315/341","929/1023","917/1023","877/1023","833/1023","73/93","767/1023","719/1023","683/1023","644/1023","596/1023","190/341","50/93","541/1023","535/1023","180/341","547/1023","560/1023","592/1023","210/341","61/93","698/1023","250/341","799/1023","830/1023","860/1023","893/1023","920/1023","306/341","938/1023","943/1023"
"950/1023","956/1023","311/341","904/1023","877/1023","26/31","276/341","788/1023","760/1023","241/341","2/3","222/341","647/1023","58/93","628/1023","640/1023","59/93","20/31","688/1023","238/341","739/1023","769/1023","820/1023","835/1023","862/1023","300/341","83/93","925/1023","929/1023","940/1023","941/1023"
"322/341","29/31","85/93","919/1023","303/341","907/1023","883/1023","859/1023","276/341","805/1023","772/1023","752/1023","736/1023","725/1023","65/93","722/1023","733/1023","749/1023","25/33","794/1023","808/1023","9/11","285/341","884/1023","905/1023","919/1023","28/31","947/1023","934/1023","10/11","941/1023"
"965/1023","959/1023","956/1023","956/1023","316/341","937/1023","916/1023","300/341","294/341","28/33","281/341","818/1023","802/1023","800/1023","266/341","800/1023","805/1023","272/341","76/93","851/1023","288/341","80/93","890/1023","923/1023","929/1023","925/1023","928/1023","313/341","937/1023","940/1023","943/1023"
"962/1023","971/1023","976/1023","965/1023","323/341","321/341","956/1023","947/1023","928/1023","908/1023","895/1023","291/341","859/1023","866/1023","862/1023","26/31","865/1023","874/1023","294/341","898/1023","305/341","923/1023","28/31","917/1023","312/341","955/1023","85/93","934/1023","309/341","928/1023","934/1023"
"315/341","320/341","974/1023","326/341","976/1023","967/1023","324/341","980/1023","29/31","312/341","10/11","914/1023","301/341","300/341","298/341","890/1023","901/1023","914/1023","910/1023","28/31","86/93","955/1023","86/93","944/1023","941/1023","940/1023","931/1023","10/11","28/31","920/1023","926/1023"
"321/341","31/33","962/1023","971/1023","327/341","989/1023","329/341","985/1023","967/1023","86/93","938/1023","10/11","920/1023","905/1023","904/1023","304/341","920/1023","922/1023","307/341","932/1023","314/341","949/1023","316/341","316/341","956/1023","944/1023","309/341","919/1023","920/1023","917/1023","306/341"
